circ;data_dp_legal
1;
4;18/11/2016
5;23/03/1999
6;22/11/1999
7;26/07/2001
9;01/04/2002
10;29/11/1999
11;21/12/2013
12;29/12/2000
13;28/12/2001
14;13/09/2000
15;24/01/2001
16;23/05/2005
17;30/08/2001
18;25/09/2001
19;23/12/2000
20;05/04/2002
21;24/04/2001
22;30/08/2001
23;28/01/2004
24;10/08/2000
25;26/09/2001
26;28/11/2005
27;30/06/2011
28;30/08/2001
29;25/07/2011
30;26/09/2001
31;04/02/2011
32;12/12/2001
33;13/06/2005
34;30/03/2002
35;16/08/2001
36;02/02/2004
37;22/11/2001
38;27/09/2006
39;25/11/2011
40;05/04/2002
41;22/11/2000
42;19/04/2010
43;26/07/2004
44;05/02/2002
45;27/12/2013
48;18/12/2014
50;01/12/2006
51;21/03/2014
52;15/01/2013
53;29/06/2011
54;26/07/2001
55;24/11/2011
56;26/07/2001
57;28/12/2001
58;26/09/2001
59;01/01/2015
60;
61;28/01/2004
62;26/09/2001
63;27/01/2004
64;15/10/2009
65;16/01/2013
66;05/04/2002
67;04/05/2011
70;04/05/2011
71;09/05/2001
72;07/01/2014
73;26/10/2005
74;22/11/2001
75;
76;28/03/2011
77;02/03/2000
78;30/08/2001
79;26/12/2006
81;12/09/2013
82;15/08/2001
88;21/12/2012
89;23/08/2006
90;26/01/2004
91;20/03/2010
92;17/11/2006
93;16/11/2006
94;24/04/2003
95;23/08/2010
96;27/01/2004
97;26/03/2003
98;01/06/2011
99;26/01/2004
100;06/09/2001
101;26/01/2004
104;28/02/2013
105;01/09/2005
106;23/05/2001
107;25/10/2007
108;16/08/2001
109;01/07/2010
110;26/06/2014
111;30/06/2006
112;17/03/2005
118;25/03/2014
119;01/06/2011
120;27/06/2008
121;19/03/2007
122;18/12/2006
123;30/07/2009
124;23/11/2006
125;05/04/2002
126;21/06/2013
127;30/08/2005
128;10/01/2008
129;25/03/2002
130;27/06/2008
132;12/02/2011
134;06/07/2000
135;05/04/2002
136;26/08/2004
137;05/04/2002
138;05/04/2002
139;05/04/2002
140;12/06/2011
141;22/03/2002
142;06/06/2006
143;12/03/2005
144;05/04/2002
145;01/06/2011
146;04/07/2003
147;01/06/2011
148;31/07/2010
151;13/09/2011
152;19/02/2008
153;11/09/2013
154;19/09/2011
155;26/08/2004
156;16/03/2005
157;05/04/2002
158;19/02/2008
159;17/11/2006
165;16/08/2001
166;06/01/2015
167;08/07/2005
168;26/01/2004
